"","Program","Year","Period","State","State.ANSI","Strawberries","items","discription","units","measurement","dname","type","Domain.Category","title","Pesticide","Number","Value","CV....","Pesticide_old","Carcinogen","Hormone.Disruptor","Neurotoxins","Developmental.or.Reproductive.Toxins","Bee.Toxins"
"1","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"174","8",NA,NA,NA,NA,NA,NA
"2","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"300,277,717","33.1",NA,NA,NA,NA,NA,NA
"3","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,384,016","30.4",NA,NA,NA,NA,NA,NA
"4","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"170","8",NA,NA,NA,NA,NA,NA
"5","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"275,716,713","35.5",NA,NA,NA,NA,NA,NA
"6","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,177,214","33.7",NA,NA,NA,NA,NA,NA
"7","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"15","39.7",NA,NA,NA,NA,NA,NA
"8","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"24,561,004","68.3",NA,NA,NA,NA,NA,NA
"9","CENSUS",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"206,802","49.3",NA,NA,NA,NA,NA,NA
"10","CENSUS",2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"14","30.4",NA,NA,NA,NA,NA,NA
"11","CENSUS",2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"15,055,709","83.4",NA,NA,NA,NA,NA,NA
"12","CENSUS",2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"59,905","76.3",NA,NA,NA,NA,NA,NA
"13","CENSUS",2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"14","30.4",NA,NA,NA,NA,NA,NA
"14","CENSUS",2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"15,055,709","83.4",NA,NA,NA,NA,NA,NA
"15","CENSUS",2019,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"59,905","76.3",NA,NA,NA,NA,NA,NA
"16","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"36","27.3",NA,NA,NA,NA,NA,NA
"17","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"644,155","42.2",NA,NA,NA,NA,NA,NA
"18","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"2,260","32.6",NA,NA,NA,NA,NA,NA
"19","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"34","28.7",NA,NA,NA,NA,NA,NA
"20","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"21","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"22","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"2","95",NA,NA,NA,NA,NA,NA
"23","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"24","CENSUS",2019,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"25","CENSUS",2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"7","43.9",NA,NA,NA,NA,NA,NA
"26","CENSUS",2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"87,402","75.2",NA,NA,NA,NA,NA,NA
"27","CENSUS",2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"300","94.1",NA,NA,NA,NA,NA,NA
"28","CENSUS",2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"7","43.9",NA,NA,NA,NA,NA,NA
"29","CENSUS",2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"87,402","75.2",NA,NA,NA,NA,NA,NA
"30","CENSUS",2019,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"300","94.1",NA,NA,NA,NA,NA,NA
"31","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"21","42.5",NA,NA,NA,NA,NA,NA
"32","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,728,809","(H)",NA,NA,NA,NA,NA,NA
"33","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"5,081","(H)",NA,NA,NA,NA,NA,NA
"34","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"19","39.8",NA,NA,NA,NA,NA,NA
"35","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"505,658","59.6",NA,NA,NA,NA,NA,NA
"36","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,004","38.9",NA,NA,NA,NA,NA,NA
"37","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"3","(H)",NA,NA,NA,NA,NA,NA
"38","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,223,151","(H)",NA,NA,NA,NA,NA,NA
"39","CENSUS",2019,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"4,077","(H)",NA,NA,NA,NA,NA,NA
"40","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"57","40.1",NA,NA,NA,NA,NA,NA
"41","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"745,009","67.2",NA,NA,NA,NA,NA,NA
"42","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"2,428","78.4",NA,NA,NA,NA,NA,NA
"43","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"53","40.5",NA,NA,NA,NA,NA,NA
"44","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"45","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"2,404","79.4",NA,NA,NA,NA,NA,NA
"46","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"6","89.2",NA,NA,NA,NA,NA,NA
"47","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
"48","CENSUS",2019,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"23","80.9",NA,NA,NA,NA,NA,NA
"49","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"189","4.7",NA,NA,NA,NA,NA,NA
"50","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"231,304,956","13.7",NA,NA,NA,NA,NA,NA
"51","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,446,458","13.5",NA,NA,NA,NA,NA,NA
"52","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"184","4.9",NA,NA,NA,NA,NA,NA
"53","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"211,553,703","13.5",NA,NA,NA,NA,NA,NA
"54","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"1,221,571","12.9",NA,NA,NA,NA,NA,NA
"55","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"48","4.4",NA,NA,NA,NA,NA,NA
"56","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"19,751,253","19.7",NA,NA,NA,NA,NA,NA
"57","CENSUS",2016,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"224,886","21",NA,NA,NA,NA,NA,NA
"58","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"9","13",NA,NA,NA,NA,NA,NA
"59","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"2,455,805","21.9",NA,NA,NA,NA,NA,NA
"60","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"MEASURED IN CWT","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"14,532","23.1",NA,NA,NA,NA,NA,NA
"61","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA,"9","14",NA,NA,NA,NA,NA,NA
"62","CENSUS",2016,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","MEASURED IN $","ORGANIC STATUS",NA,"ORGANIC STATUS: (NOP USDA CERTIFIED)"," ",NA,NA," (D)","(D)",NA,NA,NA,NA,NA,NA
